Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,0,Zeros,0.5,retain,1.0,1.0,0.705,0.1683,0.5427,-0.2696,0.08972
42,0,Zeros,0.6,deep_lift,1.0,1.0,0.595,0.2529,0.6922,-0.419,0.02506
42,0,Zeros,0.6,dyna_mask,1.0,1.0,0.38,0.3676,1.13,-0.8564,-0.03308
42,0,Zeros,0.6,extremal_mask,1.0,1.0,0.34,0.3587,0.9295,-0.6564,-0.1275
42,0,Zeros,0.6,fit,1.0,1.0,0.755,0.1823,0.5505,-0.2774,0.0663
42,0,Zeros,0.6,gradient_shap,1.0,1.0,0.57,0.2543,0.6955,-0.4223,0.02544
42,0,Zeros,0.6,integrated_gradients,1.0,1.0,0.58,0.2571,0.7011,-0.428,0.0292
42,0,Zeros,0.6,lime,1.0,1.0,0.57,0.27,0.6829,-0.4097,0.1085
42,0,Zeros,0.6,augmented_occlusion,1.0,1.0,0.58,0.2391,0.6858,-0.4126,0.04112
42,0,Zeros,0.6,occlusion,1.0,1.0,0.615,0.2523,0.6922,-0.419,0.02714
42,0,Zeros,0.6,retain,1.0,1.0,0.665,0.1941,0.579,-0.3058,0.06207
42,2,Average,0.1,deep_lift,1.0,1.0,0.75,0.1468,0.4977,-0.2417,0.0499
42,2,Average,0.1,dyna_mask,1.0,1.0,0.54,0.2575,0.7879,-0.532,-0.01041
42,2,Average,0.1,extremal_mask,1.0,1.0,0.31,0.3673,1.036,-0.7803,-0.1184
42,2,Average,0.1,fit,1.0,1.0,0.91,0.02871,0.3128,-0.0569,0.1745
42,2,Average,0.1,gradient_shap,1.0,1.0,0.74,0.1487,0.5004,-0.2445,0.04401
42,2,Average,0.1,integrated_gradients,1.0,1.0,0.74,0.1478,0.5005,-0.2446,0.04638
42,2,Average,0.1,lime,1.0,1.0,0.805,0.1099,0.4353,-0.1794,0.07307
42,2,Average,0.1,augmented_occlusion,1.0,1.0,0.77,0.1327,0.483,-0.2271,0.063
42,2,Average,0.1,occlusion,1.0,1.0,0.735,0.1501,0.4992,-0.2432,0.04764
42,2,Average,0.1,retain,1.0,1.0,0.88,0.05692,0.3468,-0.09083,0.1479
42,2,Average,0.2,deep_lift,1.0,1.0,0.665,0.1898,0.5737,-0.3177,0.01071
42,2,Average,0.2,dyna_mask,1.0,1.0,0.445,0.3312,1.045,-0.7888,-0.04204
42,2,Average,0.2,extremal_mask,1.0,1.0,0.31,0.3641,1.033,-0.7772,-0.1184
